task_name,role,estimate,best_practice
"Разработка REST API для управления пользователями",backend,16,"Использовать OpenAPI/Swagger для документирования API"
"Оптимизация SQL-запросов в модуле отчетов",backend,12,"Применять EXPLAIN ANALYZE и индексацию по частым условиям фильтрации"
"Реализация аутентификации через OAuth 2.0",backend,20,"Использовать проверенные библиотеки (например, Passport.js или Spring Security)"
"Настройка механизма фоновых задач (например, Celery или Sidekiq)",backend,24,"Обеспечить идемпотентность задач и логирование ошибок"
"Миграция базы данных с PostgreSQL 12 на 15",backend,32,"Провести полное тестирование совместимости и создать резервную копию перед миграцией"
"Реализация адаптивного макета главной страницы",frontend,16,"Использовать CSS-фреймворк (например, Tailwind) и mobile-first подход"
"Интеграция с REST API для отображения данных пользователя",frontend,10,"Применять React Query или аналоги для управления состоянием и кэширования"
"Оптимизация времени загрузки SPA (ленивая загрузка, code splitting)",frontend,20,"Использовать инструменты вроде Webpack Bundle Analyzer"
"Реализация формы с валидацией и обработкой ошибок",frontend,12,"Использовать библиотеки вроде Zod + React Hook Form"
"Кросс-браузерное тестирование UI-компонентов",frontend,16,"Автоматизировать с помощью Playwright или Cypress"
"Проведение A/B-теста для новой функции",analyst,20,"Определить метрики успеха и обеспечить статистическую значимость"
"Сбор и документирование требований от заказчика",analyst,24,"Использовать техники интервью и user story mapping"
"Анализ причин оттока пользователей по событиям в Mixpanel",analyst,16,"Сегментировать пользователей по поведенческим паттернам"
"Построение дашборда в Power BI для отслеживания KPI",analyst,12,"Следовать принципам визуализации: минимализм, контекст, ясность"
"Оценка ROI новой фичи на основе исторических данных",analyst,20,"Использовать модель прогнозирования и учитывать внешние факторы"
"Написание end-to-end тестов для критического сценария покупки",qa,16,"Использовать Page Object Model для поддерживаемости"
"Подготовка тест-кейсов на основе пользовательских сценариев",qa,12,"Покрывать как happy path, так и edge cases"
"Регрессионное тестирование после релиза",qa,20,"Автоматизировать ключевые сценарии, ручное тестирование — для новых фич"
"Тестирование производительности API с помощью JMeter",qa,24,"Определить SLA и провести нагрузочное тестирование в staging-среде"
"Валидация корректности данных в отчетах",qa,10,"Сверять с исходными данными и бизнес-правилами"
"Проектирование микросервисной архитектуры для нового продукта",architect,40,"Следовать принципам loose coupling и high cohesion"
"Выбор технологического стека для MVP",architect,24,"Учитывать масштабируемость, наличие экспертизы в команде и TCO"
"Разработка стандартов кодирования и CI/CD для проекта",architect,20,"Документировать и согласовать с командой, внедрить через шаблоны и линтеры"
"Оценка технических рисков при интеграции с внешним провайдером",architect,16,"Провести POC и анализ SLA/uptime"
"Разработка стратегии disaster recovery и резервирования",architect,32,"Обеспечить RTO/RPO в соответствии с бизнес-требованиями"
"Настройка CI/CD pipeline в GitLab CI",devops,20,"Использовать reusable pipelines и шифрование секретов"
"Развертывание Kubernetes-кластера в облаке",devops,40,"Применять IaC (Terraform) и настроить мониторинг (Prometheus + Grafana)"
"Настройка централизованного логирования (ELK или Loki)",devops,24,"Использовать структурированные логи и шаблоны парсинга"
"Обеспечение безопасности контейнеров (сканирование, минимальные образы)",devops,16,"Использовать Trivy или аналоги, применять non-root пользователей"
"Мониторинг и алертинг критичных метрик приложения",devops,20,"Определить SLO/SLI и настроить уведомления через Alertmanager"
"Составление roadmap на квартал",pm,24,"Согласовать приоритеты с заказчиком и учесть ресурсные ограничения"
"Организация ежедневных стендапов и ретроспектив",pm,8,"Следить за action items и обеспечивать follow-up"
"Управление scope creep и согласование изменений",pm,12,"Использовать change request process и impact-анализ"
"Подготовка релизного плана и координация команд",pm,16,"Определить дедлайны, ответственных и rollback-стратегию"
"Сбор фидбэка от пользователей после релиза",pm,10,"Использовать NPS, интервью и данные аналитики для итераций"
"Реализация CRUD-сервиса для управления заказами с использованием .NET Core и Entity Framework",backend,18,"Применять Repository + Unit of Work паттерны и использовать DTO для слоёв API/BL/DAL"
"Конфигурация Health Checks и метрик в .NET Core приложении",backend,10,"Использовать встроенные механизмы Microsoft.Extensions.Diagnostics.HealthChecks"
"Создание Dockerfile и docker-compose для многоконтейнерного запуска (.NET API + PostgreSQL)",backend,12,"Использовать multi-stage сборку и не включать исходный код в production-образ"
"Настройка миграций Entity Framework в CI/CD pipeline",backend,16,"Применять idempotent SQL-скрипты или EF Core команды с флагом --idempotent"
"Реализация аутентификации JWT в .NET Core с поддержкой refresh-токенов",backend,20,"Хранить refresh-токены в защищённой БД с TTL и привязкой к устройству"
"Реализация хука useFetch с обработкой loading/error состояний в React",frontend,10,"Использовать AbortController для отмены запросов при размонтировании"
"Интеграция React-приложения с React Router v6 и защищёнными маршрутами",frontend,14,"Применять компонент-обёртку PrivateRoute с проверкой состояния авторизации"
"Оптимизация повторного рендера с React.memo и useCallback",frontend,12,"Профилировать с помощью React DevTools и избегать inline-функций в props"
"Создание кастомного UI-кит на основе TypeScript и styled-components",frontend,24,"Следовать atomic design и обеспечить кросс-темную поддержку через CSS variables"
"Подключение Redux Toolkit Query для управления серверным состоянием",frontend,16,"Использовать auto-generated hooks и кэширование по умолчанию вместо ручного управления"
"Реализация REST-контроллера с сервисным слоем на Spring Boot и подключением к PostgreSQL",backend,16,"Следовать принципам разделения ответственности: контроллер → сервис → репозиторий"
"Интеграция Spring Data Redis для кэширования часто запрашиваемых данных",backend,14,"Использовать аннотации @Cacheable/@CacheEvict и настроить TTL через RedisTemplate"
"Настройка продюсера и консьюмера Kafka в Spring Boot с обработкой ошибок и dead-letter topic",backend,20,"Применять idempotent consumers и логировать payload при ошибках десериализации"
"Реализация транзакционного сохранения в PostgreSQL и отправки события в Kafka (outbox pattern)",backend,24,"Использовать Spring AOP или @TransactionalEventListener для надёжной доставки"
"Оптимизация запросов к PostgreSQL через Spring Data JPA (N+1, FetchType, проекции)",backend,18,"Анализировать SQL через show-sql и использовать Entity Graphs или DTO projections"
"Настройка Helm-чартов для деплоя микросервисов в Kubernetes",devops,20,"Использовать шаблоны values.yaml и разделение на dev/stage/prod окружения"
"Конфигурация Horizontal Pod Autoscaler (HPA) на основе custom metrics",devops,16,"Интегрировать Prometheus Adapter и протестировать нагрузку перед релизом"
"Создание NetworkPolicy для ограничения межсервисного трафика в кластере",devops,12,"Применять принцип least privilege и тестировать с помощью kubectl debug"
"Настройка GitOps-подхода с ArgoCD для автоматического синхронизированного деплоя",devops,24,"Хранить манифесты в отдельном Git-репозитории и использовать подписанные коммиты"
"Интеграция cert-manager для автоматической выдачи TLS-сертификатов Ingress",devops,14,"Использовать Let's Encrypt с production-issuer и настроить автоматический renewal"
"Написание технического задания (ТЗ) на основе требований заказчика",analyst,20,"Структурировать ТЗ по разделам: цели, ограничения, функциональные/нефункциональные требования"
"Составление бизнес-требований (БТ) с картой заинтересованных сторон",analyst,16,"Использовать методологию MoSCoW для приоритезации требований"
"Разработка функциональных требований (ФТ) с описанием пользовательских сценариев",analyst,18,"Формулировать требования в формате 'Given-When-Then' для удобства тестирования"
"Создание пользовательской документации для новой фичи (инструкции, скриншоты, FAQ)",analyst,12,"Писать на языке пользователя, избегая технического жаргона"
"Проведение валидации ТЗ/БТ/ФТ с командой разработки и заказчиком",analyst,10,"Организовать review-сессию и зафиксировать все уточнения в changelog документа"
"Написание архитектурного документа (ADR) с обоснованием ключевых решений",architect,24,"Использовать шаблон: проблема, варианты решений, выбранное решение, последствия"
"Создание визуальной схемы компонентов системы в формате C4 (Context, Container, Component)",architect,20,"Использовать инструменты вроде Structurizr или draw.io с единым стилем и легендой"
"Подготовка презентации архитектуры для защиты перед заказчиком",architect,16,"Фокусироваться на бизнес-выгодах, рисках и соответствие нефункциональным требованиям"
"Документирование API-контрактов и integration points для внешних систем",architect,18,"Использовать OpenAPI и сопроводительные схемы последовательностей (sequence diagrams)"
"Обновление архитектурной документации после major-изменений в системе",architect,12,"Вести версионирование документа и ссылаться на соответствующие релизы"